Item,BIB ID,Title,Author,Call Number,Number of Loans in 2020,Notes,URL in HKPL online catalogue
1,3060166,The laughing princess (Oxford reading tree)  ,"Hunt, Roderick",428.6 HUN,"2,407 ",[1] [2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3060166
2,3424398,My little pony : friendship is magic ,,741.5973 MYL,"2,116 ",,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3424398
3,3516865,The first hippo on the moon ,"Walliams, David",JJ WAL,"1,544 ",[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3516865
4,3517459,The bear who went boo! ,"Walliams, David",JJ WAL,"1,349 ",[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3517459
5,3517178,Maisy's bus (My friend Maisy)  ,"Cousins, Lucy",JJ COU,"1,257 ",[1] [2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3517178
6,3553003,Dog Man : brawl of the wild (Dog Man) ,"Pilkey, Dav",741.5973 PIL,"1,253 ",[2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3553003
7,3505833,Max and Marla are having a picnic ,"Boiger, Alexandra",JJ BOI,"1,213 ",,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3505833
8,3486146,Peppa's first colors. (Peppa Pig) ,,JJ PEP,"1,197 ",[2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3486146
9,3517598,Truck full of ducks ,"Burach, Ross",JJ BUR,"1,195 ",,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3517598
10,3505829,"Good night, Sophie : a touch and feel book (Sophie la girafe) ","Sirett, Dawn",JJ SIR,"1,188 ",[2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3505829
11,3505834,May I come in? ,"Arnold, Marsha Diane",JJ ARN,"1,179 ",,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3505834
12,3517052,Where bear? ,"Henn, Sophy",JJ HEN,"1,171 ",,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3517052
13,3505844,The T-rex who lost his specs! ,"Willis, Jeanne",JJ WIL,"1,160 ",,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3505844
14,3471102,Look I'm a scientist ,,507.8 LOO,"1,153 ",,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3471102
15,3029347,Watch me throw the ball! (Elephant & Piggie book)  ,"Willems, Mo",JJ WIL,"1,118 ",[1] [2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3029347
16,3455146,The smartest giant in town ,"Donaldson, Julia",JJ DON,"1,086 ",[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3455146
17,3464346,The gruffalo ,"Donaldson, Julia",JJ DON,"1,038 ",[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3464346
18,3156881,Peppa's washing day. (Peppa Pig. My first storybook) ,,JJ PEP,"1,035 ",[2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3156881
19,3517341,Lift-the-flap words ,"Channing, Margot",428.1 CHA,"1,024 ",,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3517341
20,3517276,Who loves me? ,"McPhail, David",JJ MACP,"1,023 ",,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3517276
21,3516871,Pop-up peekaboo! First words (Pop-up peekaboo!) ,"Lloyd, Clare ",428.1 LLO,"1,021 ",[2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3516871
22,2133536,Room on the broom ,"Donaldson, Julia",JJ DON,"1,020 ",[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:2133536
23,3521829,My new school (New adventures) ,"Easton, Tom ",JJ EAS,"1,019 ",[2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3521829
24,3517344,Lift-the-flap numbers ,"Channing, Margot",511.1 CHA,"1,010 ",,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3517344
25,3507729,Baby's first words ,"Sirett, Dawn",428.1 SIR,"1,000 ",,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3507729
26,3517167,From head to toe ,"Carle, Eric",613.7 CAR,997 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3517167
27,3516848,Daddy's girl ,"James, Helen Foster",JJ JAM,989 ,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3516848
28,3517026,We're going on an egg hunt : lift the flaps and find the eggs!,"Hughes, Laura ",JJ HUG,980 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3517026
29,3505814,My first day of school ,"Adams, Michelle Medlock",JJ ADA,979 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3505814
30,3517319,Peterrific (Pinkalicious) ,"Kann, Victoria",JJ KAN,975 ,[2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3517319
31,3505816,Stanley's opposites (Peachtree Petite) ,"Bee, William",JJ BEE,975 ,[2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3505816
32,3516889,Stuff to know when you start school ,,305.233 STU,962 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3516889
33,3517166,Always there bear ,"Granger, Trudi",JJ GRA,961 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3517166
