Item,BIB ID,Title,Author,Call Number,Number of Loans in 2020,Notes,URL in HKPL online catalogue
34,2371665,The snail and the whale ,"Donaldson, Julia",JJ DON,949 ,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:2371665
35,3505820,Weather (My world of science) ,"Bell, Samantha",551.5 BEL,941 ,[2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3505820
36,3516923,You choose ,"Goodhart, Pippa",JJ GOO,939 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3516923
37,3505841,A spoonful for bunny (Sprinkle with kisses) ,"Dodd, Emma",JJ DOD,927 ,[2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3505841
38,3543274,Lewis Carroll's Alice in Wonderland (BabyLit storybook) ,"Archer, Mandy",JJ ARC,927 ,[2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3543274
39,3471252,The further adventures of the Owl and the Pussy-cat ,"Donaldson, Julia",JJ DON,922 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3471252
40,3552375,Clive is a waiter (All about Clive) ,"Spanyol, Jessica",JJ SPA,916 ,[2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3552375
41,3517068,"Morris, William ABC ",,428.1 MOR,914 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3517068
42,3516979,Touch! : my big touch-and-feel word book ,,428.1 TOU,908 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3516979
43,3516876,Lucy & Tom : from one to ten ,"Hughes, Shirley",JJ HUG,907 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3516876
44,3511778,"Splish, splash, Ducky! ","Cousins, Lucy",JJ COU,903 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3511778
45,3513811,Maisy goes to a wedding (Maisy first experiences book) ,"Cousins, Lucy",JJ COU,899 ,[2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3513811
46,3555551,"Baby bear, baby bear, what do you see? (Brown bear & friends)  ","Martin, Bill",JJ MAR,896 ,[1] [2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3555551
47,3518737,Slide and find dinosaurs. (Scholastic early learners) ,,511.1 SLI,894 ,[2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3518737
48,3517139,Play with art ,,702.8 PLA,890 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3517139
49,3242284,Disney Pixar Toy story. The bunny surprise (Learning ladder) ,"Jordan, Apple",JJ JOR,886 ,[2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3242284
50,3516915,Cock-a-doodle-poo! ,"Smallman, Steve",JJ SMA,871 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3516915
51,3505807,Charlie builds ,"Bianchini, Bob",JJ BIA,867 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3505807
52,3520164,Turtle comes out of her shell : a book about feeling shy (Behaviour matters!)  ,"Graves, Sue",JJ GRA,863 ,[2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3520164
53,3517339,Dress up Jojo ,"Deneux, Xavier",JJ DEN,859 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3517339
54,2950315,Stick Man ,"Donaldson, Julia",JJ DON,854 ,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:2950315
55,3517327,Princess Arabella mixes colors ,"Freeman, Mylo",JJ FRE,850 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3517327
56,3517405,Baby dinosaur (DK baby touch and feel) ,"Sirett, Dawn",568.19 SIR,849 ,[2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3517405
57,3516874,Five little ducks (Pete the cat) ,"Dean, James",782.42083 DEA,849 ,[2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3516874
58,3515472,Opposites (Zoe and Zack) ,"Duquennoy, Jacques",JJ DUQ,844 ,[2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3515472
59,3516747,Be a good dragon ,"Cyrus, Kurt",JJ CYR,842 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3516747
60,3299082,The day the crayons quit ,"Daywalt, Drew",JJ DAY,837 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3299082
61,3517208,Pets (Creature crafts) ,"Lim, Annalees",745.5 LIM,835 ,[2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3517208
62,3500014,Feeling worried (Feelings and emotions) ,"Barnham, Kay",JJ BAR,830 ,[2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3500014
63,3180223,The Cat in the Hat ,"Seuss, Dr.",JJ SEU,822 ,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3180223
64,3552402,Silver buttons ,"Graham, Bob",JJ GRA,820 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3552402
65,3517409,The itsy bitsy dreidel ,"Burton, Jeffrey",JJ BUR,820 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3517409
66,3521822,This little piggy : and other favorite nursery rhymes ,,398.8 THI,820 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3521822
67,3550350,In my heart : a book of feelings (Growing hearts) ,"Witek, Jo",JJ WIT,819 ,[2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3550350
68,3505805,Baby Fish : finger puppet book ,"Huang, Yu-hsuan",JJ HUA,818 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3505805
69,3517239,I think that it is wonderful : and other poems from Sesame Street (Little golden book) ,"Korr, David",821 KOR,813 ,[2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3517239
70,3516749,Old MacDonald had a boat ,"Goetz, Steve",782.42 GOE,808 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3516749
71,3505821,Wolfie paints the town ,"Gibson, Sabina",JJ GIB,798 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3505821
72,3517269,Each peach pear plum ,"Ahlberg, Janet",398.8 AHL,797 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3517269
73,3495297,I am tidy ,"Porter, Jen",JJ POR,792 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3495297
74,3550356,Stick and Stone,"Ferry, Beth",JJ FER,789 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3550356
75,3504565,A great big cuddle : poems for the very young ,"Rosen, Michael",821 ROS,788 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3504565
76,3475931,My first Mr. Men lift-the-flap ,"Hargreaves, Roger",JJ HAR,788 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3475931
77,3550186,Hello hello ,"Wenzel, Brendan",JJ WEN,784 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3550186
78,3552395,Do you remember? (Faber picture book) ,"Docherty, Helen",JJ DOC,773 ,[2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3552395
79,3510742,Here come the chicks : a touch and feel book (Clap hands) ,,JJ HER,773 ,[2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3510742
80,3487929,I am brave ,"Porter, Jen",JJ POR,771 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3487929
81,3552368,The huge bag of worries ,"Ironside, Virginia",JJ IRO,770 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3552368
82,3556914,"Rain, rain, go away, the dinosaurs all want to play ","Fitzpatrick, Joe",JJ FIT,760 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3556914
83,3484524,A pet to play with (Reading champion) ,"Dale, Katie",428.6 DAL,758 ,[2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3484524
84,3517187,Little poems for tiny ears ,"Oliver, Lin",821 OLI,756 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3517187
85,3419926,What the ladybird heard next ,"Donaldson, Julia",JJ DON,755 ,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3419926
86,3555553,Disney baby animals (Disney baby) ,"Miller, Sara.",591 MIL,754 ,[2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3555553
87,3301955,"Mr. Bump  (Mr. Men, my complete collection) ","Hargreaves, Roger",JJ HAR,749 ,[2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3301955
88,3550364,Puddles!!! ,"Atteberry, Kevan",JJ ATT,747 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3550364
89,3555550,Biscuit's Christmas storybook collection ,"Capucilli, Alyssa Satin",JJ CAP,746 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3555550
90,3517086,Really feely baby animals (DK really feely) ,"Appleton, Polly",591.3 APP,746 ,[2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3517086
91,3332402,My bus ,"Barton, Byron",JJ BAR,740 ,[2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3332402
92,3552403,See Hear : there's magic all around you ; what can you see? what can you hear?,"McCartney, Tania",JJ MACC,740 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3552403
93,3516836,Hooray for fish! ,"Cousins, Lucy",JJ COU,728 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3516836
94,3517062,Allie's garden ,"Chebby, Sabra",JJ CHE,726 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3517062
95,3460394,Thomas goes crash! (Thomas & friends) ,"Stead, Emily",JJ THO,718 ,[2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3460394
96,3221047,Pete the cat and his four groovy buttons ,"Litwin, Eric",JJ LIT,715 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3221047
97,3468335,Time for a nap ,"Gershator, Phillis",JJ GER,711 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3468335
98,3508224,Oodles of kittens (Fancy Nancy) ,"O'Connor, Jane",JJ OCO,702 ,[2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3508224
99,3555547,My love is for you ,"Musgrave, Susan.",JJ MUS,701 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3555547
100,3558517,What's that noise? : (this book is calling you...),"Martins, Isabel Minho?s",JJ MAR,701 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3558517
,,,,,,,
,,,,,,,
Notes,,,,,,,
[1],Including books of different editions/years of publication of the same title (only the information of the first volume will be provided if the books were published with multiple volumes). ,,,,,,
[2],"For a series of books under the same title, only the information of the books with the highest circulation will be provided.",,,,,,
