Item,BIB ID,Title,Author,Call Number,Number of Loans in 2020,Notes,URL in HKPL online catalogue
83,3016437,Sai Kung : geopark field guide ,"Owen, Bernie",555.125 GEO, 269 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3016437
84,3564661,An introduction to Hong Kong business law ,"Stott, Vanessa",347.7095125 STO, 265 ,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3564661
85,3509413,Financial management.,,658.15 FIN, 265 ,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3509413
86,3440491,Windows 10 for dummies ,"Rathbone, Andy",005.446 RAT, 265 ,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3440491
87,3206945,Writing for IELTS ,"Williams, Anneli",428.24 WIL, 264 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3206945
88,2706898,Eyewitness travel. Great Britain.,,914.2 EYE, 263 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:2706898
89,3408257,Shoe dog : a memoir by the creator of Nike ,"Knight, Philip H.",338.768876092 KNI, 262 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3408257
90,3534049,This is going to hurt : secret diaries of a junior doctor ,"Kay, Adam",610.695092 KAY, 262 ,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3534049
91,3268772,McGraw-Hill's IELTS ,"Sorrenson, Monica",428.24 SOR, 261 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3268772
92,3297397,Get ready for IELTS listening ,"Short, Jane",428.24 SHO, 260 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3297397
93,3083946,A new geography of Hong Kong ,,915.125 NEW, 256 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3083946
94,2833363,Eyewitness travel guides. Germany.,,914.3 EYE, 253 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:2833363
95,3316288,International English in everyday conversation.,,428.24 INT, 252 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3316288
96,406878,Longman English grammar ,"Alexander, L. G. (Louis George)",428.24 ALE, 252 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:406878
97,3487642,A guide to the project management body of knowledge (PMBOK guide),,658.404 GUI, 250 ,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3487642
98,3206950,Reading for IELTS ,"Geyte, Els van",428.24 GEY, 249 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3206950
99,3428456,Contract law in Hong Kong : an introductory guide ,"Mau, Stephen D.",347.4095125 MAU, 248 ,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3428456
100,3326669,Being mortal : medicine and what matters in the end ,"Gawande, Atul",362.175 GAW, 247 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3326669
,,,,,,,
,,,,,,,
Notes,,,,,,,
[1],Including books of different editions/years of publication of the same title (only the information of the first volume will be provided if the books were published with multiple volumes). ,,,,,,
[2],"For a series of books under the same title, only the information of the books with the highest circulation will be provided.",,,,,,
