Item,BIB ID,Title,Author,Call Number,Number of Loans in 2020,Notes,URL in HKPL online catalogue
1,3365169,Charlie and the chocolate factory ,"Dahl,  Roald",JF DAH,"2,478 ",[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3365169
2,3377318,Harry Potter and the chamber of secrets (Harry Potter series)  ,"Rowling,  J. K.",JF ROW,"2,242 ",[1] [2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3377318
3,3550051,The guardian of the realm : the eleventh adventure in the Kingdom of Fantasy (Kingdom of Fantasy) ,"Stilton,  Geronimo",JF STI,"1,881 ",[2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3550051
4,3513359,The hunt for the Colosseum ghost (Geronimo Stilton special edition) ,"Stilton,  Geronimo",JF STI,"1,602 ",[2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3513359
5,3521405,The Land of Flowers : a Geronimo Stilton adventure (Thea Stilton special edition) ,"Stilton,  Thea",JF STI,"1,597 ",[2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3521405
6,3498038,No time to lose : the fifth journey through time (Journey through time) ,"Stilton,  Geronimo",JF STI,"1,551 ",[2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3498038
7,3392215,The Twits ,"Dahl,  Roald",JF DAH,"1,551 ",[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3392215
8,3294405,Matilda ,"Dahl,  Roald",JF DAH,"1,368 ",[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3294405
9,3398234,The hunt for the curious cheese (Geronimo Stilton) ,"Stilton,  Geronimo",JF STI,"1,358 ",[2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3398234
10,2940420,Charlie and the great glass elevator ,"Dahl,  Roald",JF DAH,"1,354 ",[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:2940420
11,3446451,The treasure of the sea (Thea Stilton) ,"Stilton,  Thea",JF STI,"1,296 ",[2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3446451
12,2838984,"Captain Underpants and the big, bad battle of the Bionic Booger Boy, part 2 : the revenge of the ridiculous Robo-Boogers : the seventh epic novel (Captain Underpants)  ","Pilkey,  Dav",JF PIL,"1,277 ",[1] [2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:2838984
13,3293404,The giraffe and the pelly and me ,"Dahl,  Roald",JF DAH,"1,222 ",[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3293404
14,3495210,Diary of a wimpy kid : the getaway (Diary of a wimpy kid) ,"Kinney,  Jeff",JF KIN,"1,152 ",[2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3495210
15,3183780,George's marvellous medicine ,"Dahl,  Roald",JF DAH,"1,096 ",[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3183780
16,3274780,Esio Trot ,"Dahl,  Roald",JF DAH,"1,080 ",[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3274780
17,2611822,"The lion, the witch and the wardrobe (The chronicles of Narnia)  ","Lewis,  C. S. (Clive Staples)",JF LEW,"1,021 ",[1] [2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:2611822
18,2925784,The BFG ,"Dahl,  Roald",JF DAH,953 ,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:2925784
19,3183769,The witches ,"Dahl,  Roald",JF DAH,941 ,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3183769
20,3183782,Danny the champion of the world ,"Dahl,  Roald",JF DAH,936 ,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3183782
21,3505231,The invisible planet (Spacemice) ,"Stilton,  Geronimo",JF STI,899 ,[2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3505231
22,3529364,The haunted dinosaur (Creepella von Cacklefur) ,"Stilton,  Geronimo",JF STI,842 ,[2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3529364
23,3483807,Wonder ,"Palacio,  R. J.",JF PAL,828 ,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3483807
24,3374956,Danger in the darkest hour (Magic tree house super edition) ,"Osborne,  Mary Pope",JF OSB,810 ,[2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3374956
25,3300940,"Hurry up, Houdini! (Magic Tree House) ","Osborne,  Mary Pope",JF OSB,765 ,[2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3300940
26,3567953,A fashionable mystery (Mouseford Academy) ,"Stilton,  Thea",JF STI,750 ,[2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3567953
27,3357742,Soccer on Sunday (Magic tree house. A Merlin mission) ,"Osborne,  Mary Pope",JF OSB,743 ,[2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3357742
28,3294403,Fantastic Mr. Fox ,"Dahl,  Roald",JF DAH,709 ,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3294403
29,3156229,James and the giant peach ,"Dahl,  Roald",JF DAH,707 ,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3156229
30,3468880,Pull the dragon's tooth! (Micekings) ,"Stilton,  Geronimo",JF STI,680 ,[2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3468880
31,3415286,The 65-storey treehouse (Treehouse book series) ,"Griffiths,  Andy",JF GRI,678 ,[2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3415286
32,3334440,The little prince ,"Saint-Exupery,  Antoine de",JF SAN,669 ,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3334440
33,3522009,Avengers storybook collection. ,,JF AVE,641 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3522009
34,3444254,Big Nate blasts off (Big Nate) ,"Peirce,  Lincoln",JF PEI,624 ,[2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3444254
35,3124489,Holes ,"Sachar,  Louis",JF SAC,612 ,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3124489
36,3472965,"Shoo, caveflies! (Cavemice) ","Stilton,  Geronimo",JF STI,600 ,[2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3472965
37,3461263,The pet keeper fairies (Rainbow magic. beginner readers) ,"Meadows,  Daisy",JF MEA,563 ,[2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3461263
